,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,-193,510560,,
1,1004.1040693206887,-14,516764,,
2,1006.6449008910107,-204,520400,,
3,1010.4525372467173,-123,525008,,
4,1012.9885541506707,-199,527424,,
5,1016.7889685068244,-209,530108,,
6,1019.3201707444091,-126,531408,,
7,1021.8494471154465,-155,532672,,
8,1025.6397506722262,-152,534620,,
9,1028.1642123768952,-209,536176,,
10,1031.947293934122,-148,537276,,
11,1034.4669409724222,-192,537588,,
12,1038.242800530096,-194,537616,,
13,1040.7576329020278,-300,537464,,
14,1044.526270460149,-204,537080,,
15,1047.036288165712,-233,536172,,
16,1050.7977037242804,-202,534028,,
17,1053.3029067634748,-129,533108,,
18,1055.8061839361221,-244,532376,,
19,1059.5574886953164,-79,531420,,
20,1062.0559512015948,-52,530992,,
21,1065.8000339612363,-143,530720,,
22,1068.2936818011462,-98,530780,,
23,1072.030542561235,-152,531160,,
24,1074.5193757347763,-251,530976,,
25,1078.2490144953122,-195,531516,,
26,1080.733033002485,-244,532264,,
27,1084.4554497634676,-209,533968,,
28,1086.9346536042722,-312,535252,,
29,1090.649848365702,-4,536716,,
30,1093.1242375401378,-183,538232,,
31,1095.596700848026,-287,539956,,
32,1099.3017848100822,-214,542956,,
33,1101.7694334516018,-64,545076,,
34,1105.4672954141051,-102,547836,,
35,1107.9301293892563,-117,549660,,
36,1111.6207693522065,-143,552512,,
37,1114.0787886609892,-61,554496,,
38,1117.7622066243866,-136,557392,,
39,1120.2154112668006,-216,558920,,
40,1123.8916072306451,-129,561472,,
41,1126.339997206691,-160,563324,,
42,1128.7864613161887,-48,565216,,
43,1132.4525464806593,-122,568416,,
44,1134.8941959237889,-142,570532,,
45,1138.5530590887065,-177,573236,,
46,1140.9898938654674,-228,575260,,
47,1144.6415350308325,-130,578484,,
48,1147.073555141225,-147,580648,,
49,1150.717974307037,-134,583640,,
50,1153.1451797510606,-157,585964,,
51,1156.7823769173199,-109,589744,,
52,1159.204767694975,-186,592428,,
53,1161.6252326060828,-249,595348,,
54,1165.2523189729682,-145,600000,,
55,1167.6679692177072,-189,603316,,
56,1171.2878335850396,-114,608376,,
57,1173.6986691634104,-215,611844,,
58,1177.3113115311899,-145,617532,,
59,1179.717332443192,-220,621280,,
60,1183.3227528114185,-195,628292,,
61,1185.723959057052,-64,632688,,
62,1189.322157425726,-134,639664,,
63,1191.7185490049908,-112,644816,,
64,1195.3095253741117,-219,652792,,
65,1197.7011022870083,-120,658476,,
66,1200.090753333357,-133,664176,,
