,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,-296,510560,,
1,1004.1040693206887,-468,516764,,
2,1006.6449008910107,-388,520400,,
3,1010.4525372467173,-415,525008,,
4,1012.9885541506707,-346,527424,,
5,1016.7889685068244,-470,530108,,
6,1019.3201707444091,-332,531408,,
7,1021.8494471154465,-473,532672,,
8,1025.6397506722262,-358,534620,,
9,1028.1642123768952,-402,536176,,
10,1031.947293934122,-285,537276,,
11,1034.4669409724222,-404,537588,,
12,1038.242800530096,-360,537616,,
13,1040.7576329020278,-475,537464,,
14,1044.526270460149,-473,537080,,
15,1047.036288165712,-294,536172,,
16,1050.7977037242804,-430,534028,,
17,1053.3029067634748,-556,533108,,
18,1055.8061839361221,-428,532376,,
19,1059.5574886953164,-414,531420,,
20,1062.0559512015948,-437,530992,,
21,1065.8000339612363,-344,530720,,
22,1068.2936818011462,-472,530780,,
23,1072.030542561235,-463,531160,,
24,1074.5193757347763,-493,530976,,
25,1078.2490144953122,-345,531516,,
26,1080.733033002485,-326,532264,,
27,1084.4554497634676,-506,533968,,
28,1086.9346536042722,-405,535252,,
29,1090.649848365702,-335,536716,,
30,1093.1242375401378,-402,538232,,
31,1095.596700848026,-389,539956,,
32,1099.3017848100822,-490,542956,,
33,1101.7694334516018,-413,545076,,
34,1105.4672954141051,-302,547836,,
35,1107.9301293892563,-372,549660,,
36,1111.6207693522065,-466,552512,,
37,1114.0787886609892,-438,554496,,
38,1117.7622066243866,-427,557392,,
39,1120.2154112668006,-467,558920,,
40,1123.8916072306451,-314,561472,,
41,1126.339997206691,-308,563324,,
42,1128.7864613161887,-290,565216,,
43,1132.4525464806593,-535,568416,,
44,1134.8941959237889,-491,570532,,
45,1138.5530590887065,-266,573236,,
46,1140.9898938654674,-349,575260,,
47,1144.6415350308325,-429,578484,,
48,1147.073555141225,-422,580648,,
49,1150.717974307037,-289,583640,,
50,1153.1451797510606,-400,585964,,
51,1156.7823769173199,-420,589744,,
52,1159.204767694975,-424,592428,,
53,1161.6252326060828,-377,595348,,
54,1165.2523189729682,-490,600000,,
55,1167.6679692177072,-350,603316,,
56,1171.2878335850396,-313,608376,,
57,1173.6986691634104,-461,611844,,
58,1177.3113115311899,-339,617532,,
59,1179.717332443192,-427,621280,,
60,1183.3227528114185,-446,628292,,
61,1185.723959057052,-435,632688,,
62,1189.322157425726,-399,639664,,
63,1191.7185490049908,-440,644816,,
64,1195.3095253741117,-354,652792,,
65,1197.7011022870083,-400,658476,,
66,1200.090753333357,-465,664176,,
